Entity,Code,Year,"Plastic waste generation (tonnes, total)",Population_2010,Area_km2,Per capita plastic waste (kg/person/day),Mismanaged waste (% global total),Share of plastic inadequately managed,GPD (in USD 2015),Fossil-Fuel subsities as proportion of total GDP
Christmas Island,NA,NA,NA,NA,NA,0.252,0,0,NA,NA
Cocos Islands,NA,NA,NA,NA,NA,0.252,0,0,NA,NA
Cook Islands,NA,NA,NA,NA,NA,0.144,0.0013,36,NA,NA
Falkland Islands,NA,NA,NA,NA,NA,0.252,0,0,NA,NA
Guernsey,NA,NA,NA,NA,NA,0.252,3e-4,0,NA,NA
Montserrat,NA,NA,NA,NA,NA,0.144,1e-4,12,NA,NA
Netherlands Antilles,NA,NA,NA,NA,NA,0.252,0.0013,0,NA,NA
Niue,NA,NA,NA,NA,NA,0.252,0,0,NA,NA
Norfolk Island,NA,NA,NA,NA,NA,0.103,2e-4,82,NA,NA
Reunion,NA,NA,NA,NA,NA,0.144,0.0027,0,NA,NA
Saint Helena,NA,NA,NA,NA,NA,0.144,3e-4,25,NA,NA
Saint Pierre and Miquelon,NA,NA,NA,NA,NA,0.252,0,0,NA,NA
Tokelau,NA,NA,NA,NA,NA,0.103,1e-4,82,NA,NA
