Entity,Year,plastic_waste_gen,Population_2010,Area_km2,plastic_waste_per_cap,mismanaged_waste,percent_of_inadequate_managed,GDP,GDP_per_cap
Ukraine,2010,1724509,45782592,603628,0.103,0.4044,49,106195342825.514,2319.557241877306
United Arab Emirates,2010,600741,8264070,83600,0.199,0.0095,0,278172625005.8,33660.48750867308
United Kingdom,2010,4925590,62026962,242495,0.215,0.2121,0,2666812634394.31,42994.40998568187
United States,2010,37825550,309349689,9833520,0.335,0.8649,0,16320099471000,52756.15283065631
Uruguay,2010,310379,3356584,176215,0.252,0.0677,8,45125322733.7231,13443.823462699906
Vanuatu,2010,25443,245036,51100,0.295,0.0706,81,674601737.452905,2753.07194637892
Venezuela,2010,2669998,28833845,716445,0.252,0.3214,5,79915230250.8205,475.87044276937337
Vietnam,2010,3268227,86932500,331230.8,0.103,5.7588,86,144993725389.756,1667.8885962068962
Yemen,2010,887497,23153982,527968,0.103,0.531,73,34643522302.3377,2619.9587736732133
Ethiopia,NA,5839685,83483000,1104300,0.143,1.9784,16,39727092173.7156,475.87044276937337
Democratic Republic of the Congo,NA,3532495,67827496,2345409,0.144,5.9153,50,1012981356870.87,2768.1861848867356
Uganda,NA,344698,31784600,241038,0.054,0.0489,82,24896350853.0852,783.2834408199317
Nepal,NA,1156524,28043744,147181,0.103,2.9419,82,19764532017.4887,704.775083437101
Uzbekistan,NA,1292740,28001400,448978,0.103,0.0489,81,60876692056.519,2174.058870503582
Afghanistan,NA,1365594,24485600,652864,0.103,0.1084,86,15354604611.6719,627.0871292380787
Taiwan,NA,600741,23162120,36197,0.252,0.1436,0,1196670854394.8,35268.05909579834
Kazakhstan,NA,738106,16442000,2724900,0.048,0.0683,66,146559512181.377,8913.727781375563
Burkina Faso,NA,344698,15730977,274200,0.016,0.0581,82,9088720420.95919,577.7594373800935
Mali,NA,114222,15370000,1240192,0.03,0.1526,84,11009109608.9997,716.2725835393429
Niger,NA,528843,15203822,1267000,0.189,1.4391,78,7299346317.20715,480.09943270890375
Malawi,NA,344698,13947592,118484,0.027,0.087,83,5218860380.1025,374.1764442279714
Zambia,NA,132612,13257269,752618,0.178,0.3188,21,16527123087.7163,1246.6461295849317
Zimbabwe,NA,4466,12644041,390757,0.03,0.0581,82,14100154121.2086,1115.162005660105
Chad,NA,123526,11714904,1284000,0.103,0.3188,78,8653710578.06277,738.6924022649073
Czechia,NA,310385,10506813,78866,0.172,0.0068,19,29786033372.5215,5524.885743049917
Bolivia,NA,335305,10426154,1098581,0.103,0.087,80,25266542224.0712,2423.380876982174
Rwanda,NA,407506,10412820,26338,0.09,0.1112,30,6015645883.64785,577.7153435522606
Hungary,NA,51364,10014324,93030,0.2,0.0022,0,113135489067.688,11297.366558909818
Belarus,NA,2571398,9480178,207595,0.277,1.9784,58,53317530166.8315,5624.106442603873
Azerbaijan,NA,520238,8997586,86600,0.199,0.3003,47,47218530722.19,5247.911019932458
Burundi,NA,118196,8518862,27834,0.252,0.0407,74,2718169887.36642,319.07664279177425
Austria,NA,2571398,8375290,83879,0.398,0.087,1,362278282473.232,43255.61054879676
Switzerland,NA,3263,7785806,41285,0.194,0.0068,0,641851654874.59,82438.69098133064
Tajikistan,NA,118196,7616400,143100,0.103,0.0581,82,5897861420.90634,774.3634027764219
Serbia,NA,192818,7291436,77474,0.172,0.0588,30,37959857147.321,5206.0879567921875
Paraguay,NA,2031675,6459727,406752,0.144,0.0013,49,29786033372.5215,4611.035942002116
Laos,NA,801321,6230200,237955,0.045,0.0454,82,55748903297.985,704.775083437101
Turkmenistan,NA,95171,5479800,491210,0.068,0.0176,86,21701780648.8816,3960.3234878794115
Slovakia,NA,3412,5424925,49035,0.252,0.0017,0,15327572988.2618,25903.611060173327
Kyrgyzstan,NA,192818,5418300,199951,0.144,0.0055,14,33723826288.3537,7813.057284926292
Central African Republic,NA,110479,4505945,622984,0.201,0.01,56,2332499960.04546,517.6494520118333
Republic of the Congo,NA,1543879,3758678,342000,0.103,0.0515,12,233471483024.664,13641.472648254468
Moldova,NA,144382,3563695,33846,0.069,0.1781,27,6452460920.49613,1810.6097520961052
Armenia,NA,299480,3249482,29743,0.063,0.0616,74,8513508875.79318,2619.9587736732133
Mongolia,NA,11730,2780800,1566000,0.068,0.0435,81,7152385742.49397,2572.060465511353
Kosovo,NA,135294,2208107,10908,0.065,0.1319,84,5048933039.08891,2286.543649872452
Macedonia,NA,2571398,2052722,25713,0.048,0.0024,0,53991112017.9913,19572.35843761582
Botswana,NA,97443,2029307,581730,0.034,0.0071,71,11211689312.5714,5524.885743049917
Lesotho,NA,144382,1891830,30355,0.103,0.0096,84,1986757270.54383,1050.1774845223038
Timor-Leste,NA,19842,1149028,491210,0.189,0.016,78,1296499018.68476,1128.3441471267543
Swaziland,NA,14666,1055506,78866,0.103,0.0082,34,180807400,19572.35843761582
Réunion,NA,3053,828054,45227,0.145,1e-4,0,19412870879.848,30055.394248753102
Bhutan,NA,31999,695822,622984,0.201,0.0188,0,1532318165.5995,2202.169758357022
Macau,NA,32557,552300,199951,0.042,0.2651,84,758822283.280399,716.2725835393429
Western Sahara,NA,32620,530000,176215,0.145,0.0017,37,19412870879.848,19572.35843761582
Luxembourg,NA,20191,502066,36125,0.103,0.0096,0,53991112017.9913,107537.87752604499
Guadeloupe,NA,1154309,404394,2724900,0.144,0.0206,25,150300719889.204,3918.4266261322755
Martinique,NA,24634,399637,45227,0.252,0.0024,0,881321212.121212,30055.394248753102
French Guiana,NA,310379,232223,10452,0.144,0.0074,25,26036230937.9271,9947.673550284233
Mayotte,NA,5106,202000,721.5,0.295,7e-4,0,5435968880.80073,20620.477261257434
São Tomé and Príncipe,NA,2504,165397,338424,0.252,0.0095,0,116951901413.005,43643.09324884335
U.S. Virgin Islands,NA,31999,106267,10689,0.325,0.0706,1,4727000110.65619,26874.479009007984
Micronesia,NA,2571398,102624,92212,0.252,2.9419,6,75879253449.5413,35268.05909579834
Anguilla,NA,2669998,34108752,385203,0.252,2e-4,2,150300719889.204,48563.81054094027
Christmas Island,NA,3688,142180,20273,0.252,0,0,4300110884.43538,22434.421358925585
Cocos Islands,NA,72126,5076700,338424,0.252,0,0,641851654874.59,11297.366558909818
Cook Islands,NA,310379,9340682,238397,0.144,0.0013,36,21701780648.8816,10224.132013696875
Falkland Islands,NA,3263,165397,20273,0.252,0,0,881321212.121212,30055.394248753102
Guernsey,NA,123526,552300,49035,0.252,3e-4,0,7543950875.42882,30055.394248753102
Montserrat,NA,149227,5822265,27834,0.144,1e-4,12,34387524905.8253,14485.844162417443
Netherlands Antilles,NA,22995,399637,11581,0.252,0.0013,0,641851654874.59,48256.06204786009
Niue,NA,9352,353658,42931,0.252,0,0,15327572988.2618,30055.394248753102
Norfolk Island,NA,3412,8518862,117600,0.103,2e-4,82,33723826288.3537,4611.035942002116
Reunion,NA,335305,8997586,27834,0.144,0.0027,0,95846136293.4494,52899.23348714024
Saint Helena,NA,14678,616411,28050,0.144,3e-4,25,758822283.280399,4872.221343277747
Saint Pierre and Miquelon,NA,2504,165397,28050,0.252,0,0,116951901413.005,30055.394248753102
Tokelau,NA,103933,502066,27834,0.103,1e-4,82,8521308887.16299,51293.15394147962
