Entity,"Plastic waste generation (tonnes, total)",Population,Annual Growth Rate %,Area (sq km),Density (per sq km),Total Fertility Rate,Life Expectancy at Birth,Under-5 Mortality Rate,Per capita plastic waste (kg/person/day),Mismanaged waste (% global total),Share of plastic inadequately managed,gdp_per_capita
Barbados,58164,289599,0.463,430,673.5,1.7054,76.24,14.94,0.57,0.0109,4,16203.257
Belarus,NA,9680067,-0.196,202900,47.7,1.4425,70.77,6.25,NA,NA,NA,6025.686
Belgium,318151,10865721,0.857,30278,358.9,1.8488,80.05,4.43,0.08,0.0086,0,44448.17
Belize,20191,326646,2.365,22806,14.3,3.28,73.12,18.81,0.172,0.0122,29,4270.939
Benin,144382,9178306,3.277,110622,83,5.6017,57.91,113.59,0.043,0.1351,83,1037.381
Bermuda,5990,68347,0.612,54,1265.7,1.9821,80.34,3.21,0.252,4e-4,0,NA
Bhutan,NA,759415,1.268,38394,19.8,2.29,66.86,62.25,NA,NA,NA,2097.66
Bolivia,NA,10024103,1.875,1083301,9.3,3.2472,70.29,41.67,NA,NA,NA,1972.684
Bosnia and Herzegovina,195633,3884835,-0.062,51187,75.9,1.2145,75.52,7.24,0.144,0.0407,40,4633.861
Botswana,NA,1977723,1.682,566730,3.5,2.946,58.36,53.47,NA,NA,NA,6202.466
Brazil,11852055,197854947,0.878,8358140,23.7,1.75,73.51,22.13,0.165,1.4804,9,11333.023
British Virgin Islands,2504,29629,2.514,151,196.2,1.1998,77.61,19.28,0.252,2e-4,0,NA
Brunei,3688,394772,1.725,5265,75,1.88,75.81,15.45,0.026,3e-4,1,35437.219
Bulgaria,415707,7391080,-0.54,108489,68.1,1.5262,73.16,12.9,0.154,0.0588,31,6713.329
Burkina Faso,NA,15633854,2.923,273800,57.1,5.833,58.26,116.35,NA,NA,NA,648.365
Burma,NA,51414732,0.983,653508,78.7,2.4643,65,62.77,NA,NA,NA,NA
Burundi,NA,9139612,3.442,25680,355.9,6.2408,61.5,85.81,NA,NA,NA,231.549
Cabo Verde,NA,508410,1.444,4033,126.1,2.54,70.35,38.37,NA,NA,NA,3312.035
Cambodia,344698,14326901,1.133,176515,81.2,2.8975,66.93,57.59,0.066,0.0932,87,788.19
Cameroon,335305,20899959,2.776,472710,44.2,5.125,56.32,109.58,0.046,0.087,81,1287.567
Canada,1154309,34200883,1.131,9093507,3.8,1.6471,82.65,5.57,0.093,0.025,0,47627.345
Cape Verde,11919,NA,NA,NA,NA,NA,NA,NA,0.065,0.0294,74,NA
Cayman Islands,5106,50119,2.346,264,189.8,1.8779,79.99,11.14,0.252,3e-4,0,NA
Central African Republic,NA,4683051,1.934,622984,7.5,4.68,49.91,152.54,NA,NA,NA,492.078
Chad,NA,11989444,3.615,1259200,9.5,6.6545,54.08,146.85,NA,NA,NA,895.354
Channel Islands,14678,NA,NA,NA,NA,NA,NA,NA,0.252,9e-4,0,NA
Chile,738106,16760187,0.935,743812,22.5,1.9,77.8,9.05,0.119,0.0683,7,12794.284
China,59079741,1340788628,0.534,9326410,143.8,1.54,75.05,15.61,0.121,27.6966,74,4499.803
Christmas Island,NA,NA,NA,NA,NA,NA,NA,NA,0.252,0,0,NA
Cocos Islands,NA,NA,NA,NA,NA,NA,NA,NA,0.252,0,0,NA
Colombia,2413455,43821154,0.63,1038700,42.2,2.074,75.37,18.26,0.144,0.2895,21,6498.573
Comoros,50599,710089,2.284,2235,317.7,4.42,63.36,100.3,0.201,0.1822,83,1322.638
Cook Islands,NA,11459,-3.264,236,48.6,2.43,74.47,24.76,0.144,0.0013,36,NA
Costa Rica,428029,4515673,1.339,51060,88.4,1.9319,77.32,12,0.258,0.1322,16,8268.859
Cote d'Ivoire,766988,21718472,2.382,318003,68.3,4.51,54.87,110.41,0.103,0.611,82,1650.956
Croatia,406347,4417475,-0.308,55974,78.9,1.4433,74.67,11.29,0.252,0.0517,9,13562.418
Cuba,368154,11261892,-0.02,109820,102.5,1.6872,77.69,6.47,0.089,0.2846,23,NA
Curacao,13678,143412,0.943,444,323,2.1115,77.24,10.82,0.252,8e-4,0,NA
Cyprus,100713,1102726,1.666,9241,119.3,1.4482,77.66,11.72,0.248,0.0057,0,31439.286
Czech Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19983.577
Czechia,NA,10550886,0.246,77247,136.6,1.5032,77.56,3.41,NA,NA,NA,NA
Democratic Republic of Congo,1059795,72742117,3.457,2267048,32.1,6.6242,56.17,116.99,0.045,0.0478,85,333.637
Denmark,95171,5546980,0.471,42434,130.7,1.8773,79.17,3.91,0.047,0.0056,0,58177.162
Djibouti,31999,739454,2.18,23180,31.9,2.79,60.73,83.03,0.103,0.0544,73,1835.753
Dominica,3885,73216,0.213,751,97.5,2.08,76.62,15.12,0.149,0.0025,19,6980.957
Dominican Republic,520238,9432674,1.193,48320,195.2,2.45,69.16,33.67,0.144,0.3713,25,5688.751
Ecuador,801321,14786116,1.461,276841,53.4,2.46,75.44,27.15,0.147,0.3435,30,4633.247
Egypt,5464471,81571106,2.465,995450,81.9,3.4957,71.15,29.05,0.178,3.0367,67,2922.796
El Salvador,330763,5966820,0.168,20721,288,2.225,72.24,19.39,0.147,0.3729,33,2983.23
Equatorial Guinea,49990,985606,5.23,28051,35.1,5.095,62.48,114.9,0.144,0.0188,30,17153.165
Eritrea,72120,5368638,2.384,101000,53.2,4.6975,63.1,77.87,0.045,0.0511,77,501.424
Estonia,85534,1302817,-0.405,42388,30.7,1.7348,75.24,4.86,0.176,0.0188,9,14696.814
Eswatini,NA,1019229,0.307,17204,59.2,3.19,49.33,97.07,NA,NA,NA,4263.91
Ethiopia,NA,82065947,2.753,1096570,74.8,4.757,61.9,83.6,NA,NA,NA,360.829
Faeroe Islands,4466,49052,0.422,1393,35.2,2.4273,79.48,8.97,0.252,3e-4,0,NA
Falkland Islands,NA,NA,NA,NA,NA,NA,NA,NA,0.252,0,0,NA
Fiji,59324,875701,0.815,18274,47.9,2.65,70.91,22.84,0.189,0.1547,78,4004.674
Finland,458084,5354669,0.445,303815,17.6,1.8763,79.91,2.94,0.234,0.0157,0,46647.002
France,4557128,64934209,0.566,640427,101.4,2.0824,81.49,4.7,0.192,0.0757,0,42100.289
French Guiana,NA,NA,NA,NA,NA,NA,NA,NA,0.144,0.0074,25,NA
French Polynesia,24634,268808,1.066,3827,70.2,2.05,76.01,15.73,0.252,0.004,3,NA
Gabon,32329,1627676,3.717,257667,6.3,4.1,62.48,71.26,0.054,0.0191,34,8933.306
Gaza Strip,NA,1502519,2.857,360,4173.7,5.45,72.57,24.47,NA,NA,NA,NA
Georgia,97443,4902939,0.772,69700,70.3,1.9528,74.89,20.72,0.068,0.0454,51,3222.065
Germany,14476561,81751319,-0.037,348672,234.5,1.4005,80.24,4.25,0.485,0.0981,0,42379.71
Ghana,357877,24608905,2.625,227533,108.2,4.269,63.96,69.86,0.04,0.2876,81,1757.029
Gibraltar,3053,28764,0.268,7,4109.1,1.997,79.45,8.03,0.252,2e-4,0,NA
Greece,811858,11039844,0.037,130647,84.5,1.4976,80.17,4.42,0.2,0.0447,0,26743.4
Greenland,5234,57604,0.04,2166086,0,2.16,69.77,14.32,0.252,3e-4,0,NA
Grenada,12417,107862,0.584,344,313.6,2.21,73.16,16.29,0.325,0.0071,18,7258.182
Guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA,0.144,0.0206,25,NA
Guam,14666,163334,0.403,544,300.2,3.0389,75.19,15.67,0.252,0.0012,0,NA
Guatemala,1495229,14211795,2.181,107159,132.6,3.5,69.67,44.42,0.28,0.2875,36,2836.06
Guernsey,NA,64799,0.505,78,830.8,1.5317,82.63,4.07,0.252,3e-4,0,NA
Guinea,118196,9570543,2.603,245717,38.9,5.1517,57.43,112.43,0.03,0.0581,84,630.549
Guinea-Bissau,30666,1516054,2.311,28120,53.9,5.0532,56.04,114.37,0.054,0.0636,83,644.344
Guyana,159681,786937,-0.066,196849,4,2.39,69.26,37.43,0.586,0.1319,36,3837.303
Haiti,328487,9553473,-1.141,27560,346.6,3.35,29.47,186.49,0.09,0.4628,47,1175.199
Honduras,565317,7991283,1.891,111890,71.4,2.94,71.81,23.05,0.189,0.3003,40,1904.346
Hong Kong,1020406,7029211,-0.07,1073,6551,1.13,82.42,3.73,0.398,0.0895,1,32421.361
Hungary,NA,9989465,-0.185,89608,111.5,1.3922,74.28,6.5,NA,NA,NA,13173.209
Iceland,32620,317924,0.237,100250,3.2,2.2084,81.98,2.89,0.281,0.0019,0,43293.021
India,4493080,1220718718,1.288,2973193,410.6,2.5148,67.18,58.04,0.01,1.8836,85,1384.174
Indonesia,5045714,246256766,1.234,1811569,135.9,2.4711,70.05,34.13,0.057,10.1019,81,3178.133
Iran,3919268,75034503,1.216,1531595,49,1.7813,72.81,24.37,0.144,0.7769,50,6564.058
Iraq,1156524,29072967,3.222,437367,66.5,4.5,69.15,35.98,0.103,0.0489,63,4473.71
Ireland,715716,4622824,1.005,68883,67.1,2.0317,80.06,4.55,0.43,0.0368,0,48612.201
Isle of Man,NA,83829,0.933,572,146.6,1.9713,80.15,5.86,NA,NA,NA,NA
Israel,826436,7352652,1.863,21497,342,3.0783,80.83,5.44,0.297,0.0597,1,30791.278
Italy,2899258,60786485,0.583,294140,206.7,1.3729,81.79,3.96,0.134,0.1029,0,35815.615
Jamaica,34962,2838638,-0.19,10831,262.1,2.22,72.62,18.16,0.034,0.0315,27,4894.369
Japan,7993489,127645939,-0.056,364485,350.2,1.39,82.83,3.25,0.171,0.4494,0,45135.796
Jersey,NA,93317,0.815,116,804.5,1.6382,80.63,5.36,NA,NA,NA,NA
Jordan,377506,6800252,2.38,88802,76.6,3.5631,73.1,21.03,0.144,0.0055,58,3777.824
Kazakhstan,NA,17080458,1.292,2699700,6.3,2.474,68.98,28.02,NA,NA,NA,9005.041
Kenya,407506,41761298,2.956,569140,73.4,4.4514,64.07,59.96,0.027,0.0712,83,1176.309
Kiribati,3859,99664,1.256,811,122.9,2.86,63.91,56.13,0.103,0.0096,84,1518.57
Kosovo,NA,1814820,0.569,10887,166.7,2.2893,69.85,50.34,NA,NA,NA,3290.463
Kuwait,750690,2543299,2.102,17818,142.7,2.6857,76.94,11.2,0.686,0.0361,0,32216.413
Kyrgyzstan,NA,5410439,0.691,191801,28.2,2.78,68.81,38.08,NA,NA,NA,884.846
Laos,NA,6393271,1.857,230800,27.7,3.165,64.26,67.94,NA,NA,NA,1200.869
Latvia,94935,2115339,-2.264,62249,34,1.3332,72.58,6.78,0.124,0.0323,14,11276.112
Lebanon,148807,4489300,-0.097,10230,438.8,1.78,76.5,10.11,0.094,0.1502,34,7761.616
Lesotho,NA,1993907,0.879,30355,65.7,3.4,49.91,104.46,NA,NA,NA,1222.197
Liberia,121050,3817346,3.144,96320,39.6,5.4,59.77,89.3,0.084,0.1781,84,541.579
Libya,324250,6367346,2.558,1759540,3.6,3.2871,74.5,18.8,0.144,0.1657,23,11417.422
Liechtenstein,NA,36137,0.783,160,225.9,1.6872,81.3,5.42,NA,NA,NA,NA
Lithuania,149227,3088773,-3.094,62680,49.3,1.4937,73.29,6.1,0.132,0.0109,14,12009.033
Luxembourg,NA,509257,1.919,2586,196.9,1.6834,81.47,3.5,NA,NA,NA,106177.041
Macao,72126,569121,0.976,28,20325.8,0.9818,84.46,5.61,0.368,0.0022,0,51135.159
Madagascar,123526,20808128,2.741,581540,35.8,4.61,64.25,72.24,0.016,0.1084,84,471.959
Malawi,NA,15016095,3.149,94080,159.6,5.3183,66.84,88.07,NA,NA,NA,623.414
Malaysia,2031675,29062898,1.947,328657,88.4,2.135,74.86,8.21,0.198,2.9419,55,9046.985
Maldives,43134,395647,-0.187,298,1327.7,1.83,74.22,44.08,0.322,0.0988,66,8086.697
Mali,NA,14514077,3.12,1220190,11.9,6.515,57.31,139.5,NA,NA,NA,733.666
Malta,32377,417173,0.231,316,1320.2,1.3634,81.34,6.52,0.214,0.0082,6,21842.065
Marshall Islands,3674,65768,2.002,181,363.4,3.51,71.35,35.28,0.192,0.01,77,3030.394
Martinique,NA,NA,NA,NA,NA,NA,NA,NA,0.252,0.0024,0,NA
Mauritania,59287,3202968,2.363,1030700,3.1,4.37,60.75,101.61,0.045,0.0435,82,1715.923
Mauritius,104971,1281606,0.44,2030,631.3,1.4549,73.56,15.33,0.23,0.176,51,8000.376
Mexico,3725463,114222072,1.514,1943945,58.8,2.36,74.52,16.6,0.087,0.3182,12,9299.455
Micronesia,3895,107069,-0.294,702,152.5,2.8,71.13,35.72,0.103,0.0151,81,2887.354
Moldova,NA,3731159,-1.05,32891,113.4,1.5395,68.5,17.34,NA,NA,NA,2428.106
Monaco,3412,30589,-0.167,2,15294.5,1.455,89.78,1.95,0.252,2e-4,0,NA
Mongolia,NA,2783419,1.565,1553556,1.8,2.4,67.74,32.63,NA,NA,NA,2602.373
Montenegro,32557,622553,0.014,13452,46.3,1.679,76.41,6.99,0.144,0.0139,30,6694.168
Montserrat,NA,5118,0.391,102,50.2,1.2374,72.91,17.94,0.144,1e-4,12,NA
Morocco,863555,32266907,1.225,716550,45,2.5703,70.15,34.21,0.073,0.9739,66,2896.564
Mozambique,132612,23012071,2.64,786380,29.3,5.9,50.07,144.13,0.015,0.1444,84,471.904
Myanmar,1373018,NA,NA,NA,NA,NA,NA,NA,0.075,1.4391,87,774.72
Namibia,114222,2182968,1.399,823290,2.7,3.7277,59.93,71.51,0.144,0.0172,66,5410.977
Nauru,527,9237,0.574,21,439.9,3.13,64.01,12.81,0.144,0.0017,67,4748.078
Nepal,NA,26662624,1.509,143351,186,2.65,68.42,46.27,NA,NA,NA,677.187
Netherlands,2571398,16573644,0.49,33893,489,1.7828,80.68,4.54,0.424,0.087,0,51165.823
Netherlands Antilles,NA,NA,NA,NA,NA,NA,NA,NA,0.252,0.0013,0,NA
New Caledonia,22995,252363,1.564,18275,13.8,2.09,76.58,10.97,0.252,0.0015,0,NA
New Zealand,525630,4269245,1.075,264537,16.1,2.2724,81.25,4.92,0.331,0.0292,0,33379.61
Nicaragua,299480,5595169,1.098,119990,46.6,2.17,71.57,30.41,0.143,0.2651,45,1506.073
Niger,NA,15612503,3.734,1266700,12.3,8,54.56,140.84,NA,NA,NA,476.062
Nigeria,5961750,165890754,2.681,910768,182.1,5.4604,54.47,129.93,0.103,2.674,81,2328.425
Niue,NA,NA,NA,NA,NA,NA,NA,NA,0.252,0,0,NA
Norfolk Island,NA,NA,NA,NA,NA,NA,NA,NA,0.103,2e-4,82,NA
North Korea,484700,24371787,0.54,120408,202.4,2.03,68.59,35.66,0.054,0.9557,88,NA
North Macedonia,NA,2079955,0.281,25433,81.8,1.5331,74.78,8.48,NA,NA,NA,4576.228
Northern Mariana Islands,5006,55121,-5.482,472,116.8,3.1665,73.81,18.46,0.252,7e-4,0,NA
Norway,499682,4891301,1.273,304282,16.1,1.9649,81,3.34,0.28,0.0264,0,87356.193
Oman,93251,2962837,1.976,309500,9.6,2.8661,74.01,25.37,0.084,0.0146,4,19027.779
Pakistan,6412210,188341201,2.436,770875,244.3,4.3932,65.85,92.69,0.103,1.5089,86,1029.165
Palau,1076,20840,0.317,459,45.4,1.73,71.34,17.62,0.144,0.0022,56,9986.289
Palestine,87636,NA,NA,NA,NA,NA,NA,NA,0.063,0.0176,6,NA
Panama,192818,3481393,1.447,74340,46.8,2.4295,76.5,19.41,0.145,0.108,18,8039.764
Papua New Guinea,267234,7064435,2.622,452860,15.6,4.3768,66.05,56.1,0.103,0.2821,86,2132.185
Paraguay,NA,6372088,1.309,397302,16,2.16,75.85,38.71,NA,NA,NA,4329.69
Peru,1543879,29347898,0.574,1279996,22.9,2.6383,74.99,19.9,0.144,0.6106,25,5051.219
Philippines,2565766,93745810,1.754,298170,314.4,3.21,70.28,32.11,0.075,5.9153,81,2237.157
Poland,1346905,38616395,0.068,304255,126.9,1.3656,76.17,5.89,0.097,0.0493,12,12619.616
Portugal,1022683,10650026,-0.007,91470,116.4,1.3364,79.53,3.21,0.265,0.0515,0,22539.038
Puerto Rico,342306,3721525,-1.1,8869,419.6,1.6249,79.2,8.65,0.252,0.0519,2,26435.742
Qatar,103933,1719867,8.796,11586,148.4,1.9764,77.52,11.65,0.16,0.0024,0,69796.138
Republic of Congo,110479,4237655,3.387,341500,12.4,4.905,57.37,101.61,0.069,0.0527,77,3597.956
Reunion,NA,NA,NA,NA,NA,NA,NA,NA,0.144,0.0027,0,NA
Romania,310385,20532547,-0.676,229891,89.3,1.4802,73.87,11.55,0.042,0.0113,26,8194.719
Russia,5839685,143493100,0.001,16377742,8.8,1.6012,69.08,9.6,0.112,0.2536,16,11431.148
Rwanda,NA,9923423,2.663,24668,402.3,4.6775,61.71,64.09,NA,NA,NA,612.052
Saint Barthelemy,NA,7405,-0.554,25,296.2,1.6287,78.55,9.93,NA,NA,NA,NA
Saint Helena,NA,7682,0.443,394,19.5,1.5619,78.42,28.82,0.144,3e-4,25,NA
Saint Kitts and Nevis,12280,49888,0.83,261,191.1,1.7913,74.19,19.7,0.654,0.0022,6,15136.905
Saint Lucia,32882,160619,0.377,606,265,1.82,75.98,16.99,0.522,0.0211,20,8968.072
Saint Martin,NA,30218,1.317,54,559.6,1.8188,78.55,9.93,NA,NA,NA,NA
Saint Pierre and Miquelon,NA,5976,-0.904,242,24.7,1.5408,80.24,10.61,0.252,0,0,NA
Saint Vincent and the Grenadines,8818,104102,-0.349,389,267.6,1.94,73.53,24.49,0.221,0.007,21,6224.215
Samoa,7000,192001,0.605,2821,68.1,3.3201,72.14,29.07,0.103,0.0161,80,3617.358
San Marino,NA,31467,1.096,61,515.9,1.4515,82.49,8.35,NA,NA,NA,60426.235
Sao Tome and Principe,6571,175718,2.103,964,182.3,5.21,62.82,87.06,0.103,0.016,81,1128.309
Saudi Arabia,1561618,27962740,3.327,2149690,13,2.5937,73.88,18.21,0.156,0.0645,8,19163.342
Senegal,485586,12667027,3.075,192530,65.8,5.322,65.48,66.35,0.103,0.8001,82,1272.622
Serbia,NA,7233391,-0.51,77474,93.4,1.4259,74.01,7.82,NA,NA,NA,5677.545
Seychelles,11730,88053,0.939,455,193.5,1.92,72.31,21.33,0.358,0.0145,37,10805.099
Sierra Leone,96655,6121737,3.168,71620,85.5,5.0917,50.5,161.17,0.041,0.1143,84,401.835
Singapore,359483,5189542,1.184,709,7319.5,1.15,83.24,2.32,0.194,0.0203,0,47236.672
Sint Maarten,3263,37896,1.647,34,1114.6,2.1204,78.78,9.36,0.252,2e-4,0,NA
Slovakia,NA,5426041,0.11,48105,112.8,1.4589,75.33,7.25,NA,NA,NA,16783.991
Slovenia,108421,2084182,0.154,20151,103.4,1.5573,79.41,4.49,0.145,0.0017,1,23570.184
Solomon Islands,19842,555439,2.242,27986,19.8,3.67,73.94,33.21,0.103,0.064,86,1604.149
Somalia,237569,9787362,1.636,627337,15.6,6.44,50.72,176.92,0.054,0.3188,85,no data
South Africa,4465798,51122241,0.443,1214470,42.1,2.5,53.81,52.85,0.24,1.9784,54,8130.194
South Korea,2025772,49258140,0.603,96920,508.2,1.2731,80.57,4.14,0.112,0.106,0,23077.161
South Sudan,NA,9765126,6.043,644329,15.2,6.2186,53.85,129.04,NA,NA,NA,no data
Spain,4709157,46412492,0.133,498980,93,1.3973,81.75,3.88,0.277,0.144,0,30566.877
Sri Lanka,2621606,21083218,0.949,64630,326.2,2.2181,75.52,12,0.357,4.9968,82,2799.963
Sudan,1292740,34983893,2.018,1861484,18.8,5.5176,63.39,79.36,0.103,0.072,80,1637.419
Suriname,31300,535243,2.093,156000,3.4,2.156,70.24,45.65,0.163,0.0124,15,8806.017
Sweden,164305,9432308,0.796,410335,23,1.9709,81.49,3.18,0.048,0.0068,0,52658.794
Switzerland,NA,7769857,1.064,39997,194.3,1.5179,82,4.82,NA,NA,NA,77431.92
Syria,1365594,22223250,2.339,185887,119.6,3.7,74.79,15.17,0.178,0.4959,65,2806.685
Taiwan,NA,23110964,0.173,32260,716.4,0.895,79.26,5.73,0.252,0.1436,0,19181.358
Tajikistan,NA,7485841,1.844,141510,52.9,2.94,65.56,60.09,NA,NA,NA,738.287
Tanzania,386998,44520989,3.016,885800,50.3,5.1067,61.79,73.82,0.023,0.1526,84,732.315
Thailand,3532495,66271488,0.605,510890,129.7,1.575,73.49,13.34,0.144,3.2274,73,5073.705
The Gambia,29646,1749619,3.084,10120,172.9,5.47,63.3,76.93,0.048,0.0616,84,860.639
Timor-Leste,NA,1087657,2.528,14874,73.1,5.5,66.02,57.06,NA,NA,NA,806.413
Togo,135294,6178252,2.764,54385,113.6,4.8202,65.5,89.44,0.057,0.1112,84,721.037
Tokelau,NA,NA,NA,NA,NA,NA,NA,NA,0.103,1e-4,82,NA
Tonga,8476,105623,0.295,717,147.3,3.75,75.27,18.02,0.223,0.0208,78,3569.101
Trinidad and Tobago,1745123,1321279,0.534,5128,257.7,1.7522,73.01,24.46,0.29,0.2954,3,16957.433
Tunisia,559235,10525963,1.147,155360,67.8,2.3,74.06,17.52,0.144,0.7358,60,4140.465
Turkey,5596657,74647083,1.066,769632,97,2.18,73.05,30.23,0.212,1.526,16,10533.45
Turkmenistan,NA,4940152,1.134,469930,10.5,2.19,68.18,61.38,NA,NA,NA,6855.9
Turks and Caicos Islands,2851,43214,3.871,948,45.6,1.7,81.66,12.71,0.252,2e-4,0,NA
Tuvalu,554,10479,0.668,26,403,3.14,64.46,63.09,0.144,0.0014,73,3133.042
Uganda,NA,31002201,2.801,197100,157.3,6.2584,60.37,77.85,NA,NA,NA,808.713
Ukraine,1724509,45768171,-0.403,579330,79,1.4394,70.02,10.94,0.103,0.4044,49,2982.814
United Arab Emirates,600741,8020877,3.361,83600,95.9,1.5679,77.43,7.89,0.199,0.0095,0,35065.935
United Kingdom,4925590,62502490,0.808,241930,258.3,2.0116,80.48,5.1,0.215,0.2121,0,39579.618
United States,37825550,309321666,NA,9150541,33.8,NA,NA,NA,0.335,0.8649,0,48586.288
Uruguay,310379,3302078,0.236,175015,18.9,1.91,76.21,12.79,0.252,0.0677,8,12883.878
Uzbekistan,NA,27868832,0.939,425400,65.5,1.92,72.23,29.93,NA,NA,NA,1777.487
Vanuatu,25443,245053,2.229,12189,20.1,3.79,71.3,23.35,0.295,0.0706,81,2719.254
Venezuela,2669998,28663205,1.462,882050,32.5,2.49,74.09,17.37,0.252,0.3214,5,11158.18
Vietnam,3268227,90458607,1.226,310070,291.7,2,73.78,23.84,0.103,5.7588,86,1628.013
"Virgin Islands, U.S.",NA,108357,-0.067,348,311.4,2.2981,77.84,10.35,NA,NA,NA,NA
Wallis and Futuna,NA,15331,0.32,142,108,1.84,77.81,5.77,NA,NA,NA,NA
West Bank,NA,2403049,1.98,5640,426.1,3.76,73.97,22.74,NA,NA,NA,NA
West Bank and Gaza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2406.261
Yemen,887497,23195115,2.846,527968,43.9,4.81,63.38,81.32,0.103,0.531,73,1266.787
Zambia,NA,13646916,3.138,743398,18.4,5.5316,60.29,80.07,NA,NA,NA,1456.052
Zimbabwe,NA,12721852,0.962,386847,32.9,4.105,53.1,84.25,NA,NA,NA,975.851
