Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2022-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bangladesh,BGD,GDP (constant 2015 US$),NY.GDP.MKTP.KD,22247412282.0175,23595196297.5699,24881849659.0784,24768414727.2515,27481246818.534,27922666606.9654,28639388964.5105,28102153000.1177,30768893886.4236,31144538360.9776,32894815414.1393,31092349586.6864,26747589008.3517,27637128279.6546,30288069546.9297,29049828419.5729,30694444134.7328,31514923830.6962,33744238404.0343,35364513430.9367,35654198967.1819,38233403645.338,39049429821.9031,40564956312.1552,42513416921.3805,43934221544.8747,45767764684.2626,47494308687.072,48641893176.7727,50021660425.8709,52834007311.7358,54675392830.5312,57651202535.9186,60367474528.3118,62715845616.4941,65927698356.0697,68909554894.7531,72003522586.3165,75731164300.4426,79267928092.7913,83463813143.96,87701511126.0793,91063218744.844,95379221373.1044,100376647066.682,106937209452.104,114071958456.596,122123840982.243,129468112024.815,135999939845.133,143577568429.643,152858966788.201,162827601299.735,172619411144.635,183081976119.336,195078678697.23,208955558005.097,224176245316.101,241804912832.722,261518503633.701,270695543283.145
Bulgaria,BGR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,30380970883.0615,31869687630.9196,32613706392.6898,33732456291.4167,34878160151.935,35814094910.805,37321009486.1088,39580615170.2135,43912591617.6909,42467919140.4864,38595958807.3975,35336393002.2551,32766593398.4402,32281577447.0812,32868460139.8572,33806871457.7194,35566651552.9359,30546283155.747,31703719111.3126,29041845953.2986,30374060870.5509,31535474948.9912,33387216050.7821,35135756064.3845,37423243595.5566,40063957719.338,42789344253.0039,45609752890.501,48399253570.6189,46815700521.4237,47537505667.6491,48536366470.1882,48902782248.9232,48628685105.4183,49098860802.5391,50781996712.7635,52325680684.652,53771005440.9431,55214529018.3632,57443866470.1882,54923717977.7828
Bahrain,BHR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,7719989594.2972,7309541111.89847,6757216271.72362,7188081842.37558,7547748015.19352,7188605896.05476,7273646666.44917,8030033862.1097,8592135561.90565,8623411548.67152,9006118309.71319,10017505286.0204,10687676226.0298,12063180869.1514,12033022737.8954,12505919514.1411,13019913570.9245,13422619469.9058,14065563316.8115,14670382393.2056,15447922937.5299,15832722681.7137,16362889422.8255,17393169261.3715,18607379553.6075,19866912679.454,21151705946.6711,22906020071.8799,24336503493.4839,24954622922.9927,26036230937.9271,26552663487.0358,27542575573.0076,29034512771.3789,30297627559.0615,31050638297.8723,32155459790.271,33535234420.6161,34251782226.1479,34985241938.6953,33206179338.0924
"Bahamas, The",BHS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2201671025.03956,2436525418.35062,2691190370.18633,2974412730.38912,3286772682.13085,3629438339.45034,3958698398.23268,4338658778.13687,4704050362.27161,5126552293.31636,4836920056.31953,4915592983.81836,4743678184.05711,5102659295.42125,4247748068.15147,3618948556.18618,3806597732.8554,4155089060.95536,4744260751.13516,5984377100.94707,6373079264.89301,5785073155.85173,6172609291.67674,6394641249.50525,7300835364.97493,7653405854.57434,7790937575.18802,8023459614.26896,8208778075.64358,8761009649.28617,8621162112.79165,8260643667.57906,7944625972.86074,7969080031.43684,8220019637.31531,8579953919.02168,8942330883.26863,9557182252.88383,9126765315.75566,10240004184.0069,10664885923.8984,10944856200.1322,11240878548.3526,11098734683.3133,11196707674.4034,11576865020.6221,11868237803.1636,12039939621.447,11760190753.1026,11269108054.2599,11442470431.7143,11512656732.676,11868038536.0631,11442702909.9982,11704528809.6901,11890600000,11901437916.1895,12094837707.6409,12429506802.9681,12516819004.1803,10700067637.535
Bosnia and Herzegovina,BIH,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437270537.6915,2944222749.61984,5563334594.91882,7476541665.18156,8642881917.13416,9472598556.66979,10681820232.2898,10940674188.968,11490710479.7252,11935072202.5232,12689997286.7491,13184549067.93,13898361025.2609,14712405590.0014,15513324091.4317,15047233105.8059,15177492377.319,15323122123.7286,15197191117.127,15554303325.219,15733776823.9907,16219819017.3607,16730711998.4693,17261315633.603,17906901109.7165,18413845946.1771,17825164473.5196
Belarus,BLR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29452556633.5457,29099127258.7491,26305610635.692,24306383742.7746,21462535897.5156,19230432058.6858,19768885050.6478,22022539015,23872430402.7966,24684092836.7343,26115771070.4161,27349821166.1531,28729692799.2932,30753180384.6838,34274340535.4692,37496129067.9992,41245740029.6776,44792876368.1538,49361749506.6609,49460470690.6153,53317530166.8315,56185324133.9697,57133246703.6914,57706562174.7975,58702799524.0454,56454734396.5842,55028435771.7374,56421856742.7841,58198692497.6768,59013474192.6442,58482352924.7647
Belize,BLZ,GDP (constant 2015 US$),NY.GDP.MKTP.KD,110027507.628303,115410358.318665,121056985.731217,127057095.567334,133409797.763359,139987622.488494,146666215.134734,153872106.921451,165208211.954016,173644362.441885,181992650.931668,189198542.718385,208531424.672406,219691805.708795,249481981.986577,258445431.614924,258357506.040861,275141945.018513,296935407.950815,319256106.447618,362153533.481736,366259524.578124,365865024.87455,358023878.945882,365084342.644923,368780872.413167,385521521.383659,426908429.201001,468692994.374546,529666302.436085,590278076.390006,657947770.049626,737285247.043466,783555651.256318,784796972.177201,789854886.056981,801142800.500145,829540535.763373,860569617.074972,936117775.203388,1057996353.26549,1107527887.13963,1159940620.64571,1268204975.74654,1328951248.1161,1354744911.42443,1420117861.8322,1427374868.70319,1477187471.96485,1480399775.27698,1524863986.02698,1554114720.15297,1591751697.6261,1612350313.67558,1677452112.54801,1721700991.46912,1721128807.68997,1752344611.6415,1803268967.98605,1835056955.71673,1577955710.95098
Bermuda,BMU,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1684353374.02034,1763181111.92444,1841995307.62752,1861704657.41911,2068540044.85832,2167002550.99368,2478262917.40906,2807253304.69621,2866353374.2688,2964853490.22303,3152003710.53622,3260353838.08584,3319453907.65844,3368703965.63548,3398254000.42185,3526304151.16229,3841504522.21593,4068054788.91075,4127154858.48335,4215804962.84216,4550705357.08662,4659055484.63625,4412805194.75061,4501455299.10943,4523125324.61944,4432505217.94143,4728005565.80424,4905305774.52188,5104276008.74953,5126931035.41893,5127916036.5786,4946675890.08297,4943720834.23487,5092455993.93519,5122991040.76808,5348359015.58225,5487441777.63634,5739864145.64664,5963718852.73555,6165450410.7722,6739895068.97791,7226679645.63174,7119884453.30351,7362722827.73814,7533631299.4758,7659759815.30576,8084406664.52899,8354841362.08309,8198943712.90485,7737613934.72433,7543950875.42882,7261600082.73073,6876350478.40565,6857116738.50431,6603330213.03728,6654541000,6610806937.02849,6849550930.14215,6819905984.64909,6851270046.39601,6416619976.78948
Bolivia,BOL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,4727739741.05478,4826516215.3241,5095783590.38704,5442175889.28135,5657500831.83728,5935478851.32419,6361087684.26918,6762931556.99897,7339771954.94978,7668160496.10531,8069284218.52557,8477859226.36976,9153331406.59363,9678655880.75464,9963166534.0379,10691575405.5019,11184945367.8598,11740973122.9402,11981979440.877,11997956696.7785,11833371711.2865,11865986853.023,11398616361.4361,10937870784.168,10915921103.1592,10732928005.1852,10456675901.5006,10714273722.8018,11026006026.5571,11443905993.9797,11974420975.5565,12605057145.864,12812599025.1273,13359606507.5894,13983135472.2967,14637304665.729,15275687736.6638,16032477194.0665,16838806960.5457,16910690072.3023,17334777635.2614,17626660783.8611,18064782868.0249,18554580679.5744,19328917940.8103,20183533438.7246,21151739388.7862,22117185733.2695,23477060277.6956,24265185486.7802,25266542224.0712,26581436404.4894,27943010880.0261,29842021040.5739,31471565392.2411,33000198248.3362,34407300577.8681,35850757819.7381,37364958855.9519,38193230057.6737,34820961246.5927
Brazil,BRA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,188463840495.972,204671730778.626,218180065010.015,219489145400.075,226951776343.678,232398618975.926,247969326447.313,258384038158.1,283705673897.594,310657712917.865,342966115061.323,381868493955.806,427464921480.414,487176307067.733,526900364431.798,554123457284.639,610960618080.963,641107419354.292,672969802174.375,718459600555.531,784557883806.638,751214173744.859,757449251386.938,735255988321.301,774959811690.65,835794156908.37,898395139260.805,930108487676.71,929550422584.105,958924215937.766,917211012544.471,926678369092.735,921636571083.558,967024315178.796,1023622994738.33,1066858717622.64,1090424176305.99,1127442397678.23,1131254256770.5,1136547820412.59,1186418964175.19,1202908958700.07,1239639324926.44,1253781489825.37,1325998860262.8,1368459094911.19,1422677289738.78,1509031960385.82,1585904997822.47,1583909738979.16,1703150040884.74,1770840429187.27,1804861390247.16,1859094274468.6,1868463286781.87,1802211999538.68,1743173031958.05,1766232928553.89,1797736638228.88,1823105452462.95,1749104722085.75
